id,lat,lng,name,name_en,type,routes
6328564386,40.4073096,49.7009883,,,bus_stop,
6328564388,40.3942355,49.7150649,"140, 567",,bus_stop,
6328564389,40.4047585,49.7136323,,,bus_stop,
6328564391,40.4089337,49.7152983,,,bus_stop,
6360152658,40.5917264,45.8118161,,,bus_stop,
6418252592,40.4169723,49.9588163,,,bus_station,
6422464585,40.3993742,49.8013374,2 nömrəli Bakı Baza Tibb Kolleci,,bus_stop,
6423145305,39.8066697,46.764773,Kiçik körpü,,bus_stop,
6423145311,39.8086194,46.7676995,,,stop_position,
6423928656,39.8123353,46.7643864,,,bus_stop,
6423928657,39.8117868,46.758408,Xankəndi Doğum evi,,bus_stop,
6424018256,39.8117236,46.7584059,,,stop_position,
6424018257,39.8117486,46.7591723,,,bus_stop,
6424018258,39.8118059,46.7591411,,,stop_position,
6424018259,39.8115222,46.7549288,Mikayıl Gözəlov küçəsi,,bus_stop,
6424018260,39.8118162,46.7529002,Xankəndi şəhər Uşaq Xəstəxanası,,bus_stop,
6424018262,39.8118924,46.7529204,Xankəndi şəhər Uşaq Xəstəxanası,,stop_position,
6424018263,39.8121747,46.7520859,Şəhər bağı,,bus_stop,
6424018264,39.8121008,46.7520383,Şəhər bağı,,stop_position,
6424018265,39.8137433,46.750911,,,bus_stop,
6424018266,39.8137775,46.750799,,,stop_position,
6424018267,39.8134121,46.7504368,Nuru Paşa küçəsi,,bus_stop,
6424018268,39.8133657,46.7505648,Nuru Paşa küçəsi,,stop_position,
6424047520,39.8167715,46.7524185,Nuru Paşa küçəsi,,stop_position,
6424047521,39.8174887,46.7552228,,,bus_stop,
6424047523,39.817539,46.7552192,,,stop_position,
6424047524,39.8193276,46.7559777,Azərbaycan prospekti,,bus_stop,
6424047525,39.81945,46.7557767,Azərbaycan prospekti,,bus_stop,
6424047526,39.8193859,46.7558706,Azərbaycan prospekti,,stop_position,
6425093411,39.8209989,46.7586586,,,stop_position,
6425093414,39.8223977,46.7610411,,,stop_position,
6425093417,39.8244964,46.764225,,,stop_position,
6425156566,39.8260691,46.7655365,,,bus_stop,
6425156567,39.8262479,46.7651313,Koltsevoy Meydanı,,bus_stop,
6425156568,39.8262483,46.7652395,Koltsevoy Dairəsi,,stop_position,
6425156569,39.8233588,46.7669926,,,bus_stop,
